id,mips
1,5376
2,8176
3,3800
4,8548
5,2215
6,2189
7,9789
8,3637
9,6409
10,1782
11,7818
12,7114
13,8570
14,6731
15,8871
16,5184
17,9819
18,7092
19,4697
20,7048
21,7696
22,4835
23,2930
24,5629
25,4894
26,1516
27,5043
28,4322
29,4969
30,6291
31,6256
32,3242
33,2993
34,8349
35,8280
36,6498
37,9144
38,5314
39,7308
40,8081
41,8123
42,5331
43,2880
44,6784
45,3213
46,6797
47,3517
48,5568
49,7363
50,3242
51,5827
52,9119
53,8046
54,4113
55,1097
56,7657
57,6788
58,2575
59,6959
60,5053
61,4032
62,5204
63,5831
64,2181
65,3093
66,7259
67,1458
68,3544
69,3938
70,9379
71,3211
72,3634
73,9478
74,2086
75,3003
76,4047
77,4473
78,6365
79,7344
80,9503
81,3753
82,8382
83,2990
84,3000
85,4934
86,6399
87,9584
88,1310
89,1908
90,2639
91,3741
92,6047
93,1627
94,3191
95,9669
96,4950
97,8342
98,9615
99,1783
100,6388
101,8380
102,7062
103,1023
104,4250
105,8106
106,4851
107,9338
108,1368
109,3409
110,6199
111,3881
112,4244
113,3083
114,3211
115,2204
116,2755
117,4031
118,5409
119,4566
120,6443
121,9945
122,2503
123,7449
124,7829
125,6549
126,7633
127,1086
128,8580
129,9203
130,9916
131,6936
132,9219
133,3998
134,3692
135,9459
136,5828
137,8367
138,8380
139,4650
140,7454
141,1679
142,2723
143,7013
144,7005
145,9970
146,4070
147,4016
148,1995
149,6410
150,4444
151,8259
152,2388
153,9745
154,7641
155,2558
156,9416
157,7720
158,9298
159,4541
160,8935
161,6832
162,9902
163,8454
164,2499
165,1374
166,9706
167,9554
168,4907
169,4807
170,9471
171,7330
172,2631
173,6687
174,6970
175,9206
176,8956
177,3337
178,2167
179,3438
180,2116
181,2769
182,4882
183,7908
184,6753
185,5117
186,9875
187,1542
188,6529
189,1113
190,8074
191,4038
192,9711
193,9716
194,8440
195,9508
196,9014
197,2788
198,9203
199,2769
200,7129
201,3588
202,2126
203,8753
204,6455
205,3485
206,3693
207,4186
208,8787
209,7035
210,1433
211,2160
212,1513
213,1841
214,6130
215,5814
216,2682
217,7304
218,7092
219,5605
220,4609
221,9343
222,3309
223,2463
224,3102
225,8888
226,8620
227,5964
228,9623
229,5840
230,8653
231,7253
232,8582
233,6239
234,4057
235,6422
236,2811
237,4345
238,1101
239,9795
240,2977
241,6536
242,3736
243,4642
244,2670
245,8308
246,9964
247,6127
248,6951
249,6808
250,5234
251,6159
252,3447
253,3743
254,9856
255,4476
256,4854
257,1771
258,3418
259,2851
260,9072
261,4227
262,7034
263,9588
264,2228
265,3744
266,4785
267,2866
268,8530
269,3805
270,2493
271,3305
272,9292
273,6919
274,9534
275,5292
276,2824
277,8630
278,6977
279,7820
280,2148
281,3887
282,5339
283,2001
284,8654
285,8831
286,8848
287,1972
288,9129
289,2288
290,4232
291,2855
292,3094
293,8922
294,9411
295,8665
296,4470
297,4921
298,2529
299,5857
300,8921
301,7360
302,8582
303,5075
304,3715
305,5582
306,8216
307,3745
308,5530
309,4236
310,2788
311,5762
312,6366
313,5416
314,6882
315,4052
316,7065
317,8072
318,4067
319,5584
320,1613
321,7956
322,1600
323,7372
324,6109
325,3305
326,3111
327,6921
328,5702
329,2212
330,2503
331,1255
332,2034
333,1510
334,6761
335,4914
336,1540
337,2913
338,9321
339,8735
340,6715
341,9385
342,3818
343,7961
344,9353
345,6048
346,9174
347,8302
348,6729
349,4094
350,4802
351,9946
352,2177
353,8490
354,6037
355,4651
356,6849
357,2166
358,5518
359,2853
360,4405
361,6050
362,9364
363,1949
364,9345
365,6553
366,4586
367,7578
368,7872
369,9241
370,8565
371,1059
372,3702
373,7482
374,1081
375,7649
376,8393
377,5319
378,1663
379,9168
380,4682
381,7577
382,7950
383,9512
384,1374
385,2433
386,8030
387,2300
388,1600
389,3745
390,1031
391,5136
392,4104
393,8198
394,3641
395,3176
396,9293
397,5155
398,1507
399,5726
400,3846
401,6934
402,7537
403,6734
404,6899
405,9976
406,9865
407,4593
408,1398
409,5814
410,6731
411,8063
412,2426
413,2619
414,2888
415,3865
416,9702
417,5139
418,9888
419,9555
420,8787
421,7912
422,6092
423,9787
424,8655
425,4845
426,6991
427,1078
428,3132
429,5490
430,2276
431,7698
432,3823
433,1585
434,4028
435,7930
436,5588
437,9237
438,9633
439,4754
440,7133
441,3539
442,2377
443,4146
444,2931
445,7251
446,6736
447,5404
448,5201
449,5009
450,5845
451,6907
452,5416
453,5088
454,1380
455,7295
456,8486
457,4062
458,9101
459,8053
460,1828
461,1835
462,2071
463,9996
464,4368
465,1055
466,3462
467,9669
468,2481
469,6524
470,4111
471,6044
472,5235
473,4998
474,5067
475,6434
476,9575
477,6992
478,3867
479,5096
480,2116
481,4840
482,8539
483,9314
484,1860
485,4365
486,8913
487,5992
488,3939
489,4971
490,3377
491,3870
492,2713
493,1098
494,2010
495,3020
496,2818
497,7110
498,3800
499,7875
500,9891
501,5206
502,5682
503,4530
504,7961
505,1705
506,9504
507,4223
508,2941
509,8513
510,5258
511,9312
512,9908
513,6562
514,3939
515,8369
516,3598
517,7445
518,1006
519,2816
520,1107
521,7471
522,9994
523,8614
524,2550
525,2408
526,7061
527,1891
528,4072
529,7123
530,5621
531,1875
532,5169
533,7513
534,1753
535,6800
536,3108
537,9534
538,8002
539,5818
540,7683
541,3712
542,4733
543,9057
544,2254
545,8950
546,8160
547,3893
548,2218
549,8930
550,2167
551,5759
552,1999
553,4578
554,1188
555,8464
556,9531
557,2466
558,1308
559,6476
560,8644
561,6761
562,5540
563,6302
564,3413
565,4316
566,8494
567,5279
568,7433
569,7645
570,4610
571,9487
572,1214
573,2996
574,1395
575,6137
576,2194
577,1493
578,9945
579,7435
580,3933
581,9068
582,7317
583,9784
584,7424
585,9266
586,6671
587,9701
588,4067
589,1161
590,1851
591,3429
592,6118
593,6780
594,6197
595,8277
596,9476
597,2463
598,7478
599,6906
600,2321
601,1398
602,3717
603,8463
604,7637
605,3835
606,6118
607,5627
608,4202
609,7406
610,8683
611,7787
612,2532
613,1676
614,7634
615,1836
616,7837
617,7075
618,7339
619,6154
620,4780
621,3330
622,8132
623,7999
624,1394
625,8226
626,3789
627,3369
628,5308
629,1556
630,7301
631,6495
632,4739
633,9758
634,8537
635,4041
636,9999
637,1565
638,6626
639,2042
640,9982
641,7284
642,1536
643,2391
644,6968
645,7366
646,1010
647,8920
648,8651
649,7764
650,8396
651,8586
652,8440
653,9083
654,6133
655,5010
656,4951
657,8000
658,9962
659,9820
660,2025
661,8994
662,7793
663,5324
664,9482
665,9703
666,3192
667,6829
668,4666
669,8414
670,1914
671,7451
672,4699
673,2364
674,1162
675,5226
676,5100
677,4892
678,7327
679,8240
680,5216
681,3528
682,1451
683,3950
684,3123
685,1069
686,9481
687,2035
688,6642
689,5785
690,2201
691,3505
692,3660
693,2130
694,6942
695,5969
696,4016
697,1683
698,6845
699,3881
700,4513
701,2406
702,9386
703,4501
704,4636
705,5078
706,6455
707,2202
708,7792
709,1894
710,8692
711,3546
712,8399
713,1152
714,4450
715,3334
716,8697
717,5373
718,7128
719,9770
720,5903
721,9588
722,5535
723,5668
724,9668
725,5453
